byte_val,timing,is_target,predicted_key
23,10562,0,10
23,10494,0,10
23,10516,0,10
23,10408,0,10
23,10478,0,10
23,10414,0,10
23,10416,0,10
23,10324,0,10
23,10434,0,10
23,10380,0,10
24,9842,0,10
24,10046,0,10
24,10266,0,10
24,10542,0,10
24,10438,0,10
24,10448,0,10
24,10348,0,10
24,10410,0,10
24,10280,0,10
24,9910,0,10
25,9972,0,10
25,9952,0,10
25,9966,0,10
25,10008,0,10
25,9984,0,10
25,9984,0,10
25,9940,0,10
25,10018,0,10
25,9910,0,10
25,10006,0,10
26,10058,0,10
26,9948,0,10
26,10038,0,10
26,9984,0,10
26,10082,0,10
26,9968,0,10
26,10052,0,10
26,9972,0,10
26,9988,0,10
26,9992,0,10
27,9966,0,10
27,10230,0,10
27,10390,0,10
27,10406,0,10
27,10412,0,10
27,10466,0,10
27,10466,0,10
27,10034,0,10
27,10398,0,10
27,10166,0,10
28,10112,0,10
28,10050,0,10
28,10062,0,10
28,10038,0,10
28,9936,0,10
28,9742,0,10
28,9998,0,10
28,9992,0,10
28,10040,0,10
28,9902,0,10
29,9918,0,10
29,9956,0,10
29,10146,0,10
29,9956,0,10
29,10058,0,10
29,9998,0,10
29,9956,0,10
29,10044,0,10
29,9946,0,10
29,9894,0,10
30,10030,0,10
30,9940,0,0
30,9946,0,0
30,10082,0,0
30,9858,0,0
30,10032,0,0
30,10160,0,0
30,10256,0,0
30,10204,0,0
30,9984,0,0
31,9990,0,0
31,10180,0,0
31,10428,0,0
31,10370,0,0
31,10464,0,0
31,10078,0,0
31,9994,0,0
31,10006,0,0
31,9996,0,0
31,10022,0,0
32,10032,0,0
32,10452,0,0
32,10364,0,0
32,10334,0,0
32,10056,0,0
32,10056,0,0
32,10232,0,0
32,10032,0,0
32,10044,0,0
32,10040,0,0
33,10042,0,0
33,10450,0,0
33,10592,0,0
33,10598,0,0
33,10548,0,0
33,10506,0,0
33,10386,0,0
33,10474,0,0
33,10478,0,0
33,10492,0,0
34,10508,0,0
34,10448,0,0
34,10512,0,0
34,10136,0,0
34,10032,0,0
34,9996,0,0
34,10068,0,0
34,9980,0,0
34,10114,0,0
34,10044,0,0
35,9928,0,0
35,9884,0,0
35,10066,0,0
35,9912,0,0
35,9940,0,0
35,9934,0,0
35,10060,0,0
35,10042,0,0
